NIMG ZLENS SIGMA ZSRC MAGH APMAG_H IMSEP EPSILON PHI KAPPA THETA XSRC YSRC TYP LENSID TIER DELAY MAG XIMG YIMG
2 1.001 149.6236 2.221993 24.79 24.74873 0.4726709 0.270511 -126.3082 0.02683525 100.8031 0.08394602 -0.02994413 1 1925880 MEDIUM 0.0,10.38913 -2.086818339390936,-0.04126923008093775 0.3231001,-0.1369495 -0.04579681,0.06270256
2 0.44 145.8814 1.229996 24.36 22.70496 0.5885775 0.2022396 -121.4033 0.0526554 -3.801388 0.003856717 -0.02874616 5 828151 MEDIUM 0.0,1.969116 -2.2190950049067855,-1.6550380361173405 -0.1726754,-0.1361437 -0.3202349,0.2672078
2 0.608 173.7801 2.796198 25.4 23.51732 1.091653 0.1286492 139.2471 0.06542985 36.27658 0.08487571 -0.02475336 1 2478421 MEDIUM 0.0,10.10316 -1.90610987836246,-1.8826787127616225 0.646622,-0.4184408 -0.05014617,0.1893253
4 1.443 192.7525 2.927488 27.48 24.75038 0.8102804 0.5661184 -115.7223 0.09197979 49.27679 0.08252879 0.1509318 2 2598627 MEDIUM 0.0,53.37265,53.33628,53.35898 -0.4804823223361026,-2.7296182984621256,-3.5893486031597273,-2.8878905209941856 0.3029785,-0.02904345,-0.1194427,-0.1748806 0.5100409,-0.208896,-0.1814175,-0.1269709
2 0.356 226.4644 0.9503328 25.31 24.53522 1.708498 0.177368 66.64313 0.05471727 -179.9443 0.2668769 0.1893381 2 525605 MEDIUM 40.52996,0.0 -0.7747835772216969,-1.1478322226877666 -0.4459214,0.9929721 -0.2684782,0.6526902
2 0.644 169.0441 1.829217 25.03 24.67887 0.9073781 0.4164866 -112.44 0.03836652 122.2935 -0.02344869 -0.2491526 1 1503965 MEDIUM 0.0,29.80134 -0.693860306372206,-0.3511278998362996 -0.08662248,-0.02366633 -0.7039142,0.2012773
2 2.065 149.2794 2.811413 25.15 24.66776 0.1650036 0.2906425 147.1705 0.06553263 -157.7076 -0.003861699 0.02385401 1 2496973 MEDIUM 4.665563,0.0 -0.4822371565882224,-1.6569859188207336 -0.00523755,-0.0611421 -0.06292275,0.09232175
2 0.93 69.82324 1.680491 24.31 24.38538 0.08412096 0.4260114 151.8966 0.04209022 151.7484 0.01416588 0.004475778 1 1340154 MEDIUM 0.4347852,0.0 0.0753827064527728,-0.876685870583203 -0.02020594,0.06332871 -0.01902808,-0.009113539
2 0.674 255.2701 1.778747 25.02 24.37907 1.877347 0.1896676 -106.9083 0.03400082 -92.58974 -0.1175066 0.3120039 1 1448111 MEDIUM 93.49127,0.0 -0.6409337312926995,-1.1073648854385325 0.3477625,-0.2073044 -0.4933208,1.300093
4 0.921 117.2195 2.089471 25.79 23.775 0.3071252 0.2748691 142.0421 0.03155686 88.62527 0.01255357 0.009257256 2 1787595 MEDIUM 1.275028,0.0,0.2422314,0.1062017 -1.0691432346082848,-2.0149975637449384,-2.2782968018888896,-2.1416509711644087 -0.1014249,0.163415,0.1101573,-0.03632496 -0.09372348,-0.05758746,0.1288947,0.1713407
2 0.452 75.85776 1.256918 24.89 24.75947 0.190081 0.1715697 17.82856 0.03690659 -10.21592 0.04398442 -0.01536752 2 858583 MEDIUM 0.0,0.8161197 -0.946061529907583,-0.13053305216941422 0.1409495,-0.04148973 -0.03172587,0.02162879
2 0.403 182.3896 2.773489 25.82 24.67107 1.326803 0.3024789 -86.49379 0.04814963 -159.2095 0.08671414 0.06157247 1 2456617 MEDIUM 10.44717,0.0 -1.1489252248660662,-1.6544775439535249 -0.5785666,0.450382 -0.1396837,0.6979736
