NIMG ZLENS SIGMA ZSRC MAGH APMAG_H IMSEP EPSILON PHI KAPPA THETA XSRC YSRC TYP LENSID TIER DELAY MAG XIMG YIMG
2 0.559 80.7235 1.903741 24.57 23.35465 0.2250998 0.251087 30.58064 0.02032849 106.3909 0.02574892 0.01844528 2 1585029 MEDIUM 0.7344046,0.0 -1.8033911751565814,-1.2153526042484777 -0.06404164,0.1166247 -0.05025871,0.08401561
4 0.632 278.6121 1.616925 25.65 24.1803 2.209543 0.3040241 91.48365 0.03554284 -145.0565 0.05959526 0.09553956 2 1266809 MEDIUM 31.38006,44.4393,0.0,32.03647 -2.8312359713309276,-1.3307607839454059,-1.4696973176686736,-2.629228712793253 0.3187708,-0.9553941,0.3702426,0.8093076 -0.9970382,-0.2147316,1.211905,-0.656075
4 0.474 214.783 1.104336 25.87 24.73051 1.390882 0.4812356 -41.11823 0.0581972 14.11756 -0.1011304 0.08305756 2 690115 MEDIUM 21.33604,19.19043,20.34613,0.0 -1.139489783281625,-1.996899998293102,-1.2478173723828705,-0.9412293302213958 -0.0719597,0.5241306,0.4972255,-0.6921226 -0.514857,-0.2278121,0.26305,0.4469325
4 0.618 276.0578 1.534509 25.23 23.29584 2.243656 0.5264924 8.759172 0.03911667 -56.73803 0.3348088 0.02454164 5 1173121 MEDIUM 101.8644,0.0,101.9714,103.1168 -3.4297951547678696,-0.7923730909177661,-3.065060611886941,-1.9341569809200951 -0.7724787,1.45569,-0.6375342,-0.6248258 -0.1889173,0.07424806,-0.4682408,0.5134754
4 0.934 94.84185 1.449784 25.97 24.50071 0.1445219 0.2970555 -108.636 0.05602764 34.4278 -0.003495708 0.002536268 2 1079421 MEDIUM 0.01750684,0.3357504,0.1532002,0.0 -1.582665989085492,-0.8976288198637741,-1.4692928427971315,-1.5733119271590041 -0.05238028,0.05039385,-0.05900597,0.02302658 -0.05310501,-0.02793369,0.0296148,0.07018481
4 0.808 181.134 2.221993 25.53 24.60146 0.9688647 0.4927798 -15.54691 0.04805325 107.3838 0.05713394 0.002161202 1 1924809 MEDIUM 13.15139,0.0,8.353602,10.39525 -0.5801136605575388,-1.0517426224120707,-1.563591366929638,-0.9285402056207428 -0.1960532,0.5133175,-0.3601673,0.03982418 -0.3122796,-0.1599965,0.2591967,0.4173715
4 1.044 279.8981 2.483369 25.34 24.62333 2.01384 0.5652256 -179.3839 0.04845221 -37.80741 -0.1454396 0.0754871 1 2187671 MEDIUM 109.4061,0.0,73.96837,85.91737 -0.022102739457644932,-0.7803560842394576,-1.3768228859855176,-0.7166704399892881 0.1134941,-1.157735,0.8523201,0.2594207 -0.6628641,0.2549315,0.1315091,0.744865
2 0.933 282.488 3.0552 25.53 24.054 2.05606 0.2734391 57.94749 0.02342189 8.694992 0.03729941 0.1312804 2 2705657 MEDIUM 69.1702,0.0 -1.5132143892741339,-1.4759951655813888 0.4826874,0.6914056 -0.8907535,1.154686
4 1.24 170.2159 2.434942 26.03 24.17792 0.5033856 0.3614867 -81.9957 0.07115178 42.20698 0.04167355 -0.007958987 2 2141410 MEDIUM 0.0,8.124463,0.9726689,0.2716761 -1.8853873114028616,-0.5560894485344129,-2.0908758113114625,-1.85208124960488 0.136554,-0.2084767,0.2945932,0.2110817 -0.2606794,0.01671866,-0.001106374,0.2293983
4 1.296 214.783 2.758425 24.94 23.90978 0.9725958 0.4498884 -81.59707 0.04473958 -111.5803 -0.06478823 0.04573048 2 2447512 MEDIUM 15.39937,17.41209,32.68744,0.0 -1.6110851484709798,-1.2706177498913684,-0.18305642153672003,-1.0302214794877558 -0.2017238,-0.4239244,0.3305975,-0.1679484 -0.4350076,-0.1643181,-0.02932586,0.5370016
2 0.368 243.2204 1.1946 25.62 24.40145 2.094135 0.2304644 -159.2812 0.05076149 -117.6237 0.1207281 0.2131903 2 788028 MEDIUM 38.8743,0.0 -1.2185470200762407,-1.2215872203755185 -0.06431432,0.8827095 -0.8185915,1.049173
2 0.258 148.9361 2.052619 25.06 24.66721 0.955153 0.2590708 -147.7545 0.03873767 166.8287 -0.07677749 0.1072837 1 1744395 MEDIUM 5.040922,0.0 -0.39278553597543353,-1.9094440240393398 0.1801766,-0.5593421 -0.3016068,0.3029008
4 0.65 88.30799 1.745601 26.75 24.75372 0.2393215 0.1755395 -140.6832 0.1265769 121.6731 -0.005618109 0.003294677 5 1410795 MEDIUM 0.2811829,0.0,0.1759048,0.1827891 -1.947248684817767,-1.9962782245504433,-3.106351707352706,-2.9686029672558916 0.1013437,-0.07407115,0.005039636,-0.05913631 0.008362785,0.1094908,-0.116377,-0.09014708
2 0.209 153.1087 2.034358 26.13 24.41989 1.105155 0.06915113 -139.1719 0.03571048 -73.21039 0.06930158 0.06048041 2 1724769 MEDIUM 3.085542,0.0 -1.7101072019503176,-2.0432852669449044 -0.3894823,0.4043597 -0.2558527,0.5130308
2 1.47 242.661 2.654649 24.75 24.29803 1.086807 0.1802939 -8.418585 0.1877967 142.0444 -0.2240428 0.03714378 2 2352592 MEDIUM 116.8255,0.0 -0.4519671336839033,-0.6758065962422541 0.267042,-0.7739461 0.03560557,0.3478437
4 0.89 184.0772 2.313483 25.31 24.06355 0.8265076 0.4105085 -97.68826 0.01762781 85.08263 -0.08965467 -0.01933761 1 2018822 MEDIUM 0.0,17.87274,5.205824,4.952097 -1.2464462321429106,-0.09843217289204867,-2.062613681713356,-2.1606376416166606 -0.2990181,0.3053833,-0.4281652,-0.2863923 -0.4413103,-0.006208437,0.2021531,0.3851008
2 0.573 292.4152 2.618284 24.5 22.33487 3.013148 0.2791627 38.02922 0.07435742 -52.54164 0.1681103 0.02507 1 2314356 MEDIUM 52.49718,0.0 -2.3251939570849127,-2.165132039601581 -1.374569,1.635529 0.3499577,0.4855202
4 0.868 143.8799 2.202719 25.47 24.14098 0.5592115 0.3601834 -168.9059 0.0571153 -0.2998924 -0.00175417 0.04605366 2 1905143 MEDIUM 5.382209,0.4425851,0.0,1.32407 -0.15232885297180465,-1.427950053360686,-1.3290168990720421,-1.3667911746659018 0.02307916,-0.2906304,0.2649027,-0.05706172 -0.1891511,0.1013942,0.165429,0.2718372
4 0.571 161.4359 0.8926917 24.56 23.57368 0.4665733 0.5073088 72.72677 0.07904495 -114.0082 0.07085502 -0.02475253 2 468547 MEDIUM 0.02376773,0.9725914,6.436768,0.0 -1.102237300144326,-0.9863152497885286,0.849471829982828,-1.078968621568889 0.06948492,0.2355595,-0.10348,0.2237879 -0.2689679,-0.07878092,0.03455367,0.1713516
2 0.915 108.3927 1.89215 24.2 24.35587 0.287741 0.2591381 -113.3567 0.1123945 78.71878 -0.05161669 -0.06402914 2 1574757 MEDIUM 0.0,5.677893 -0.6227738300703403,0.1558681924188395 -0.1101127,0.04044288 -0.2109089,0.03430102
4 0.71 208.4491 1.762124 24.91 23.1398 1.218014 0.1892327 -52.664 0.06266042 87.15995 0.02751558 0.02494279 1 1429910 MEDIUM 10.39527,0.0,2.994706,4.592001 -1.2973766170188923,-1.770200537694542,-2.146633787917832,-2.100924165889619 -0.4643774,-0.03546245,0.3668129,0.5676879 -0.2258316,0.6592575,-0.4904087,0.09500983
2 0.107 336.5116 0.8294219 25.3 23.85161 5.595832 0.0754587 -2.162848 0.02070727 -61.59743 0.4578381 -0.4596051 2 402967 MEDIUM 0.0,56.22909 -1.6274442118235253,-1.4483895863333898 2.543675,-1.380606 -2.349743,1.639411
2 0.756 321.3661 2.943229 25.85 24.50829 3.324936 0.008019923 -14.89109 0.03027251 83.47043 0.2985085 -0.1020985 1 2609431 MEDIUM 141.6067,0.0 -1.3417072641336132,-2.327459255157053 -1.302098,1.788988 0.3833213,-0.8415811
4 1.007 250.0345 1.801066 24.46 23.47688 0.9480231 0.6878045 -53.9632 0.07200912 72.38458 0.2649709 0.1039802 2 1474780 MEDIUM 0.0,11.38582,9.503229,83.08968 -0.9831156080390497,-1.1402455922122536,-1.3432380852642554,1.9026540587158642 0.7070442,0.5423891,0.298024,-0.1240887 -0.1793493,0.4659421,0.6758994,-0.07338821
2 0.662 168.2674 1.696622 25.22 24.68555 0.8423834 0.1546133 -156.4475 0.02948337 -145.1544 -0.1754162 -0.08282756 5 1356323 MEDIUM 0.0,23.16387 -0.9303488088800778,-0.5344509481314124 -0.5566986,0.2009587 -0.2748276,0.09336422
4 0.168 309.7419 2.647347 25.09 24.47112 5.156835 0.5451443 64.95351 0.0194167 -165.1683 -0.2572278 0.0306413 1 2339934 MEDIUM 0.0,49.90398,27.32956,11.00204 -1.0241266389637957,0.009852566892401899,-0.6188818852910114,-1.1878979360707378 -1.807981,1.643869,-1.962598,0.5394999 -2.090765,-0.7172383,1.15438,2.500778
2 0.6 103.2761 3.178699 24.35 24.27165 0.4059532 0.1247605 148.246 0.06656149 -118.7817 -0.0339513 0.09258242 2 2806462 MEDIUM 3.876112,0.0 -0.07834742893739295,-1.1944919520374668 0.03400318,-0.07154379 -0.09832896,0.2936632
2 0.392 183.6538 1.386911 22.75 23.89529 1.236641 0.1458226 -90.06497 0.02531268 -46.20232 0.3811823 -0.2302662 2 1004777 MEDIUM 0.0,38.77993 -0.9076288694221648,1.1452918288966414 0.8674202,-0.1436709 -0.6377078,0.07431396
2 0.54 201.3724 1.316367 25.76 24.32937 1.101268 0.05092897 55.30213 0.05668042 -49.37266 -0.07355826 -0.0386812 2 926155 MEDIUM 10.93079,0.0 -1.4306265125792983,-3.017892501165354 0.4119684,-0.6148371 0.2321085,-0.1659641
4 0.634 217.771 3.212263 26.86 24.70047 1.788757 0.2897932 74.05689 0.03329169 -0.4800832 -0.02272274 -0.08835767 2 2833911 MEDIUM 0.0,18.58804,17.14611,16.80011 -1.6110563425421398,-2.1595317053505494,-2.7295014152823422,-3.16685361601532 -0.3340563,-0.4848767,0.7958062,0.481662 -0.9297575,0.634747,0.2381424,0.6621767
2 0.331 138.0384 1.30251 24.86 23.56559 0.7183095 0.3672153 -77.62438 0.04604573 -174.7081 0.01403528 -0.06839031 2 908856 MEDIUM 0.0,2.982277 -1.2944124797741385,-2.857352644161135 0.1077217,0.09383635 -0.4265394,0.2916359
